Test_Doc_Devanagari,Test_Scene_Devanagari,Training_Doc_Devanagari,Training_Scene_Devanagari,Script
6,,0,9,Devanagari
4,,2,4,Devanagari
0,,0,8,Devanagari
0,,0,0,Devanagari
2,,1,7,Devanagari
0,,4,7,Devanagari
4,,0,3,Devanagari
3,,0,6,Devanagari
5,,2,8,Devanagari
0,,1,7,Devanagari
9,,0,4,Devanagari
0,,0,2,Devanagari
0,,0,6,Devanagari
1,,0,3,Devanagari
,,3,0,Devanagari
,,0,10,Devanagari
,,0,7,Devanagari
,,0,3,Devanagari
,,4,4,Devanagari
,,2,3,Devanagari
,,0,0,Devanagari
,,8,6,Devanagari
,,0,3,Devanagari
,,0,4,Devanagari
,,0,1,Devanagari
,,8,11,Devanagari
,,3,2,Devanagari
,,0,4,Devanagari
,,7,0,Devanagari
,,0,5,Devanagari
,,0,0,Devanagari
,,3,1,Devanagari
,,0,8,Devanagari
,,0,0,Devanagari
,,2,4,Devanagari
,,0,11,Devanagari
,,0,7,Devanagari
,,8,3,Devanagari
,,0,5,Devanagari
,,0,4,Devanagari
,,0,5,Devanagari
,,1,3,Devanagari
,,6,0,Devanagari
,,3,6,Devanagari
,,5,,Devanagari
,,0,,Devanagari
,,2,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,10,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,2,,Devanagari
,,8,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,6,,Devanagari
,,0,,Devanagari
,,2,,Devanagari
,,3,,Devanagari
,,5,,Devanagari
,,2,,Devanagari
,,0,,Devanagari
,,1,,Devanagari
,,6,,Devanagari
,,3,,Devanagari
,,4,,Devanagari
,,5,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,2,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,2,,Devanagari
,,8,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,4,,Devanagari
,,10,,Devanagari
,,1,,Devanagari
,,0,,Devanagari
,,3,,Devanagari
,,0,,Devanagari
,,5,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,5,,Devanagari
,,5,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,2,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,2,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,2,,Devanagari
,,0,,Devanagari
,,3,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,3,,Devanagari
,,2,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,3,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,6,,Devanagari
,,0,,Devanagari
,,6,,Devanagari
,,4,,Devanagari
,,5,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,5,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,1,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,5,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,3,,Devanagari
,,0,,Devanagari
,,2,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,2,,Devanagari
,,5,,Devanagari
,,1,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,1,,Devanagari
,,0,,Devanagari
,,3,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,5,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,3,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,5,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,1,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,1,,Devanagari
,,4,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,2,,Devanagari
,,1,,Devanagari
,,4,,Devanagari
,,3,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,10,,Devanagari
,,0,,Devanagari
,,1,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,10,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,10,,Devanagari
,,9,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,2,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,6,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,1,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,5,,Devanagari
,,0,,Devanagari
,,1,,Devanagari
