Components,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Latin,2633, 213, 128, 134, 167, 140, 85, 88, 35, 33, 23, 14, 12, 4, 7, 1, 0, 0, 0, 0, 1, 0
Bengali,1654, 229, 176, 75, 51, 31, 18, 8, 6, 5, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
Devanagari,1043, 248, 95, 49, 27, 8, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Document,3095, 367, 151, 62, 26, 13, 7, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Scene,2235, 323, 248, 196, 219, 166, 100, 96, 40, 37, 23, 16, 12, 5, 7, 1, 0, 0, 0, 0, 1, 0
Overall_Image,5330, 690, 399, 258, 245, 179, 107, 99, 43, 39, 23, 16, 12, 5, 7, 1, 0, 0, 0, 0, 1, 0
