Components,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Latin,69.84,5.65,3.4,3.55,4.43,3.71,2.25,2.33,0.93,0.88,0.61,0.37,0.32,0.11,0.19,0.03,0,0,0,0,0.03,0
Bengali,65.77,9.11,7,2.98,2.03,1.23,0.72,0.32,0.24,0.2,0,0.08,0,0.04,0,0,0,0,0,0,0,0
Devanagari,64.98,15.45,5.92,3.05,1.68,0.5,0.25,0.19,0.12,0.06,0,0,0,0,0,0,0,0,0,0,0,0
Document,75.88,9,3.7,1.52,0.64,0.32,0.17,0.07,0.07,0.05,0,0,0,0,0,0,0,0,0,0,0,0
Scene,58.65,8.48,6.51,5.14,5.75,4.36,2.62,2.52,1.05,0.97,0.6,0.42,0.31,0.13,0.18,0.03,0,0,0,0,0.03,0
Overall_Image,67.55,8.75,5.06,3.27,3.11,2.27,1.36,1.25,0.54,0.49,0.29,0.20,0.15,0.06,0.09,0.01,0.00,0.00,0.00,0.00,0.01,0.00
